Timestamp;Wind_speed_mean;L50eq;chronogram
 05/11/2021 00:00;6.8;31.2;1
 05/11/2021 00:10;6.1;32.9;0
 05/11/2021 00:20;5.4;28.3;0
 05/11/2021 00:30;5.9;29.7;0
 05/11/2021 00:40;6.7;30.7;0
 05/11/2021 00:50;7.4;29.7;0
 05/11/2021 01:00;7.5;31.9;0
 05/11/2021 01:10;6.5;29.9;0
 05/11/2021 01:20;7.3;30.1;0
 05/11/2021 01:30;7.7;29.9;0
 05/11/2021 01:40;7.4;30.7;0
 05/11/2021 01:50;7;29.2;0
 05/11/2021 02:00;6.3;30.6;0
 05/11/2021 02:10;6.5;30.6;1
 05/11/2021 02:20;6.6;32.6;1
 05/11/2021 02:30;6.4;33.3;1
 05/11/2021 02:40;6.3;33.5;1
 05/11/2021 02:50;6.2;31.4;1
 05/11/2021 03:00;6.1;33.6;1
 05/11/2021 03:10;5.8;32;1
 05/11/2021 03:20;5.9;31.2;1
 05/11/2021 03:30;6.1;31.4;1
 05/11/2021 03:40;6;30.9;1
 05/11/2021 03:50;6.1;30.2;1
 05/11/2021 04:00;5.8;30.8;1
 05/11/2021 04:10;6;31.3;0
 05/11/2021 04:20;6;33.1;0
 05/11/2021 04:30;5.7;33.1;0
 05/11/2021 04:40;6.2;32.95;0
 05/11/2021 04:50;6.1;32.8;0
 05/11/2021 05:00;7.2;32;0
 05/11/2021 05:10;7.4;32.2;0
 05/11/2021 05:20;6.1;30.4;0
 05/11/2021 05:30;6.1;30.5;0
 05/11/2021 05:40;5.8;36;0
 05/11/2021 05:50;5.5;34.7;0
 05/11/2021 06:00;5.3;35.8;0
 05/11/2021 06:10;6.1;35;1
 05/11/2021 06:20;6.1;36.8;1
 05/11/2021 06:30;6;37.1;1
 05/11/2021 06:40;7;37.9;1
 05/11/2021 06:50;6.5;39.1;1
 05/11/2021 07:00;6.6;37.8;1
 05/11/2021 07:10;6.2;39.6;1
 05/11/2021 07:20;6.3;42.3;1
 05/11/2021 07:30;6.5;42.5;1
 05/11/2021 07:40;6.2;43.3;1
 05/11/2021 07:50;6.1;42.4;1
 05/11/2021 08:00;6.1;42.4;1
 05/11/2021 08:10;5.9;43.1;0
 05/11/2021 08:20;5.4;42.5;0
 05/11/2021 08:30;5.7;42.9;0
 05/11/2021 08:40;5.3;43.9;0
 05/11/2021 08:50;5.6;42.8;0
 05/11/2021 09:00;5.5;42.7;0
 05/11/2021 09:10;5;41.2;0
 05/11/2021 09:20;4.9;41.1;0
 05/11/2021 09:30;5.4;41.4;0
 05/11/2021 09:40;5.1;40.2;0
 05/11/2021 09:50;5.1;40.9;0
 05/11/2021 10:00;5.9;41.1;0
 05/11/2021 10:10;5.5;41.8;1
 05/11/2021 10:20;6.2;41.9;1
 05/11/2021 10:30;5.6;41;1
 05/11/2021 10:40;5.9;41.8;1
 05/11/2021 10:50;6.6;42.8;1
 05/11/2021 11:00;5.8;41.5;1
 05/11/2021 11:10;5.7;40.7;1
 05/11/2021 11:20;5.2;40.4;1
 05/11/2021 11:30;4.8;40.3;1
 05/11/2021 11:40;4.8;40.2;1
 05/11/2021 11:50;4.8;40.2;1
 05/11/2021 12:00;5.3;40.7;1
 05/11/2021 12:10;4.5;39.7;0
 05/11/2021 12:20;3.4;38.8;0
 05/11/2021 12:30;5.2;40.6;0
 05/11/2021 12:40;5.5;40.3;0
 05/11/2021 12:50;5.2;41.1;0
 05/11/2021 13:00;6;43.1;0
 05/11/2021 13:10;5.9;41.8;0
 05/11/2021 13:20;5.8;40.8;0
 05/11/2021 13:30;5.4;41.3;0
 05/11/2021 13:40;5.9;41.8;0
 05/11/2021 13:50;5.5;40.5;0
 05/11/2021 14:00;4.5;42.1;0
 05/11/2021 14:10;5.4;40.1;1
 05/11/2021 14:20;5.2;41.05;1
 05/11/2021 14:30;6.2;42;1
 05/11/2021 14:40;5.6;41.6;1
 05/11/2021 14:50;5.1;40.6;1
 05/11/2021 15:00;5.6;41.2;1
 05/11/2021 15:10;6.5;40.2;1
 05/11/2021 15:20;4.8;37.9;1
 05/11/2021 15:30;5;40.4;1
 05/11/2021 15:40;6;40.7;1
 05/11/2021 15:50;5.2;40.6;1
 05/11/2021 16:00;5.8;42.4;1
 05/11/2021 16:10;4.7;40.5;0
 05/11/2021 16:20;4.3;41.3;0
 05/11/2021 16:30;4.2;40.3;0
 05/11/2021 16:40;5.4;40.9;0
 05/11/2021 16:50;4.9;41.3;0
 05/11/2021 17:00;4.6;40.9;0
 05/11/2021 17:10;4.8;40.6;0
 05/11/2021 17:20;5.4;43.6;0
 05/11/2021 17:30;5.7;42.2;0
 05/11/2021 17:40;5.5;49.6;0
 05/11/2021 17:50;5.3;57;0
 05/11/2021 18:00;5.8;56.6;0
 05/11/2021 18:10;5.9;42.7;1
 05/11/2021 18:20;5.7;42.5;1
 05/11/2021 18:30;5.9;42.5;1
 05/11/2021 18:40;6.2;42.7;1
 05/11/2021 18:50;6.3;42.8;1
 05/11/2021 19:00;6.5;42.2;1
 05/11/2021 19:10;6.6;42.2;1
 05/11/2021 19:20;7;42.1;1
 05/11/2021 19:30;6.9;42;1
 05/11/2021 19:40;6.8;39.8;1
 05/11/2021 19:50;6.9;39.6;1
 05/11/2021 20:00;6.8;39.6;1
 05/11/2021 20:10;7.7;38.6;0
 05/11/2021 20:20;7.8;38.3;0
 05/11/2021 20:30;7.4;37.8;0
 05/11/2021 20:40;7.8;39.9;0
 05/11/2021 20:50;7.3;38.1;0
 05/11/2021 21:00;6.9;38;0
 05/11/2021 21:10;7.3;38.1;0
 05/11/2021 21:20;7.1;36.2;0
 05/11/2021 21:30;7;36.2;0
 05/11/2021 21:40;7.2;35.9;0
 05/11/2021 21:50;7.4;37.4;0
 05/11/2021 22:00;7.3;33.4;0
 05/11/2021 22:10;6.5;35.7;1
 05/11/2021 22:20;6.5;36;1
 05/11/2021 22:30;6.4;36.4;1
 05/11/2021 22:40;5.8;34.6;1
 05/11/2021 22:50;6.1;35.8;1
 05/11/2021 23:00;5.8;35.7;1
 05/11/2021 23:10;6.3;33.5;1
 05/11/2021 23:20;6.3;35.5;1
 05/11/2021 23:30;6;35.5;1
 05/11/2021 23:40;5.7;36.1;1
 05/11/2021 23:50;5.2;35.7;1
 06/11/2021 00:00;5.4;34.4;1
 06/11/2021 00:10;5.2;32.7;0
 06/11/2021 00:20;5.1;37.3;0
 06/11/2021 00:30;4.7;37.4;0
 06/11/2021 00:40;4.2;34.2;0
 06/11/2021 00:50;4.3;36.7;0
 06/11/2021 01:00;4.2;35.4;0
 06/11/2021 01:10;4.1;34.7;0
 06/11/2021 01:20;4.1;33.3;0
 06/11/2021 01:30;4.4;33.9;0
 06/11/2021 01:40;4.6;33.1;0
 06/11/2021 01:50;4.6;34.3;0
 06/11/2021 02:00;4.3;33.8;0
 06/11/2021 02:10;4.8;34.5;1
 06/11/2021 02:20;6;33.4;1
 06/11/2021 02:30;6;33.5;1
 06/11/2021 02:40;5.9;33.1;1
 06/11/2021 02:50;6.2;34;1
 06/11/2021 03:00;6;34.8;1
 06/11/2021 03:10;6.3;35.7;1
 06/11/2021 03:20;6.8;34.9;1
 06/11/2021 03:30;6.8;33.7;1
 06/11/2021 03:40;6.6;34.4;1
 06/11/2021 03:50;6.9;33.8;1
 06/11/2021 04:00;6.6;33.8;1
 06/11/2021 04:10;6.8;32;0
 06/11/2021 04:20;6.5;31.3;0
 06/11/2021 04:30;6.4;32.7;0
 06/11/2021 04:40;6.2;34.6;0
 06/11/2021 04:50;6.3;33.2;0
 06/11/2021 05:00;6;33.2;0
 06/11/2021 05:10;6.1;33.4;0
 06/11/2021 05:20;6.6;36.7;0
 06/11/2021 05:30;7.1;33.7;0
 06/11/2021 05:40;7.7;34;0
 06/11/2021 05:50;7.8;32.9;0
 06/11/2021 06:00;7.7;33.1;0
 06/11/2021 06:10;7.7;33.6;1
 06/11/2021 06:20;7.4;33.7;1
 06/11/2021 06:30;7.2;35.2;1
 06/11/2021 06:40;6.6;37.4;1
 06/11/2021 06:50;6.6;35.3;1
 06/11/2021 07:00;6.8;35.7;1
 06/11/2021 07:10;6.8;37.4;1
 06/11/2021 07:20;6.5;39.4;1
 06/11/2021 07:30;6.4;38.4;1
 06/11/2021 07:40;6.5;39.8;1
 06/11/2021 07:50;6.2;42.4;1
 06/11/2021 08:00;6.2;42.4;1
 06/11/2021 08:10;6.2;43.1;0
 06/11/2021 08:20;6;43;0
 06/11/2021 08:30;6.1;44.2;0
 06/11/2021 08:40;6;44.6;0
 06/11/2021 08:50;5.9;44.3;0
 06/11/2021 09:00;5.9;43.3;0
 06/11/2021 09:10;5.9;43.2;0
 06/11/2021 09:20;5.8;43.15;0
 06/11/2021 09:30;5.7;43.1;0
 06/11/2021 09:40;5.3;42;0
 06/11/2021 09:50;5.3;41.8;0
 06/11/2021 10:00;4.5;40.9;0
 06/11/2021 10:10;3.7;40.6;0
 06/11/2021 10:20;2.9;39.6;0
 06/11/2021 10:30;2.9;39.2;0
 06/11/2021 10:40;2.8;38.1;0
 06/11/2021 10:50;2.8;36.5;0
 06/11/2021 11:00;3;34.9;0
 06/11/2021 11:10;3.2;34.9;1
 06/11/2021 11:20;2.8;36.3;0
 06/11/2021 11:30;2.6;34.8;0
 06/11/2021 11:40;2.5;34.8;0
 06/11/2021 11:50;2.4;33.6;0
 06/11/2021 12:00;2;32.8;0
 06/11/2021 12:10;0.9;33.9;0
 06/11/2021 12:20;1.3;31.6;0
 06/11/2021 12:30;1.1;31.4;0
 06/11/2021 12:40;1.8;30.3;0
 06/11/2021 12:50;2.2;32;0
 06/11/2021 13:00;2;30.5;0
 06/11/2021 13:10;2.7;30.9;0
 06/11/2021 13:20;2.1;30.85;0
 06/11/2021 13:30;1.3;30.8;0
 06/11/2021 13:40;0.9;30.3;0
 06/11/2021 13:50;2.8;28.8;0
 06/11/2021 14:00;3;28.9;0
 06/11/2021 14:10;2.2;27.6;0
 06/11/2021 14:20;3.2;30.5;1
 06/11/2021 14:30;3;30.1;0
 06/11/2021 14:40;3.2;33;0
 06/11/2021 14:50;3.3;31.7;0
 06/11/2021 15:00;3;32.2;0
 06/11/2021 15:10;3.3;32.6;1
 06/11/2021 15:20;3.2;31.5;1
 06/11/2021 15:30;2.9;32.6;0
 06/11/2021 15:40;2.8;29.5;0
 06/11/2021 15:50;2.6;30.5;0
 06/11/2021 16:00;2.9;31.1;0
 06/11/2021 16:10;2.3;29.3;0
 06/11/2021 16:20;1.9;31;0
 06/11/2021 16:30;3;34.1;0
 06/11/2021 16:40;2.8;31.8;0
 06/11/2021 16:50;3;34.2;0
 06/11/2021 17:00;3;34.7;0
 06/11/2021 17:10;3.4;35.2;0
 06/11/2021 17:20;4;35.1;0
 06/11/2021 17:30;4.2;37.8;0
 06/11/2021 17:40;3.8;36.2;0
 06/11/2021 17:50;4.3;36.6;0
 06/11/2021 18:00;3.7;36.2;0
 06/11/2021 18:10;3.3;36.7;0
 06/11/2021 18:20;2.9;35.3;0
 06/11/2021 18:30;1.6;34.3;0
 06/11/2021 18:40;0.9;34.4;0
 06/11/2021 18:50;2.1;36.7;0
 06/11/2021 19:00;2.5;38.2;0
 06/11/2021 19:10;2.8;37.2;0
 06/11/2021 19:20;2.7;38.7;0
 06/11/2021 19:30;2.5;37.9;0
 06/11/2021 19:40;2.9;39;0
 06/11/2021 19:50;2.8;33.4;0
 06/11/2021 20:00;2.9;32.8;0
 06/11/2021 20:10;3.6;34.1;0
 06/11/2021 20:20;4.6;33.3;0
 06/11/2021 20:30;4.7;32.4;0
 06/11/2021 20:40;4.8;34.8;0
 06/11/2021 20:50;5;34.7;0
 06/11/2021 21:00;4.7;31.1;0
 06/11/2021 21:10;4;32.4;0
 06/11/2021 21:20;4;30.2;0
 06/11/2021 21:30;3.8;29.1;0
 06/11/2021 21:40;4.2;31.1;0
 06/11/2021 21:50;4.2;31.7;0
 06/11/2021 22:00;4;30.1;0
 06/11/2021 22:10;4;33.7;1
 06/11/2021 22:20;3.7;32.9;1
 06/11/2021 22:30;3.7;32.1;1
 06/11/2021 22:40;4.2;32.7;1
 06/11/2021 22:50;4.8;31.3;1
 06/11/2021 23:00;4.1;31.7;1
 06/11/2021 23:10;3.8;32.7;1
 06/11/2021 23:20;3.7;32.4;1
 06/11/2021 23:30;3.5;32.9;1
 06/11/2021 23:40;3.4;30.9;1
 06/11/2021 23:50;3.2;32.3;1
 07/11/2021 00:00;2.9;31.8;0